"","site","studySub","studyName","subSiteID","Scale","date.no","even","temp_n","duration","initialEven","Sys","Taxon","Trophic","Prediction","Lat","Long","Climate","Protection","area","year0","initialYr","year0Z","initialYrZ","durationZ"
"4307","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",35948,0.838842028,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.42,40.13,12.42,12.13,-21.08
"4301","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",35969,0.693686833,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.48,40.13,12.48,12.13,-21.08
"4294","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36004,0.783317764,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.57,40.13,12.57,12.13,-21.08
"4313","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36026,0.560265856,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.63,40.13,12.63,12.13,-21.08
"4279","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36063,0.677484146,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.73,40.13,12.73,12.13,-21.08
"4272","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36088,0.628191949,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.8,40.13,12.8,12.13,-21.08
"4299","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36118,0.448856177,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.88,40.13,12.88,12.13,-21.08
"4312","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36146,0.814279957,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,40.96,40.13,12.96,12.13,-21.08
"4336","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36179,0.409878729,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.05,40.13,13.05,12.13,-21.08
"4330","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36201,0.412813061,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.11,40.13,13.11,12.13,-21.08
"4308","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36237,0.245982266,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.21,40.13,13.21,12.13,-21.08
"4325","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36272,0.726045963,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.31,40.13,13.31,12.13,-21.08
"4269","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36309,0.696662796,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.41,40.13,13.41,12.13,-21.08
"4286","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36340,0.768714626,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.49,40.13,13.49,12.13,-21.08
"4282","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36361,0.705909545,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.55,40.13,13.55,12.13,-21.08
"4306","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36389,0.527370781,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.63,40.13,13.63,12.13,-21.08
"4289","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36413,0.2352236,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.69,40.13,13.69,12.13,-21.08
"4297","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36459,0.550337618,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.82,40.13,13.82,12.13,-21.08
"4298","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36477,0.598479762,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.87,40.13,13.87,12.13,-21.08
"4303","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36503,0.212295334,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,41.94,40.13,13.94,12.13,-21.08
"4335","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36544,0.65283243,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.05,40.13,14.05,12.13,-21.08
"4309","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36566,0.283827463,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.11,40.13,14.11,12.13,-21.08
"4324","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36610,0.821704648,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.23,40.13,14.23,12.13,-21.08
"4292","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36636,0.884275253,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.3,40.13,14.3,12.13,-21.08
"4329","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36669,0.792761022,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.39,40.13,14.39,12.13,-21.08
"4323","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36701,0.701216129,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.48,40.13,14.48,12.13,-21.08
"4316","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36731,0.788273183,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.56,40.13,14.56,12.13,-21.08
"4319","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36760,0.765856655,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.64,40.13,14.64,12.13,-21.08
"4320","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36782,0.667428255,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.7,40.13,14.7,12.13,-21.08
"4314","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36825,0.203043916,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.82,40.13,14.82,12.13,-21.08
"4331","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36845,0.129172307,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.87,40.13,14.87,12.13,-21.08
"4293","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36881,0.730042019,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,42.97,40.13,14.97,12.13,-21.08
"4295","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36921,0.533159033,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.08,40.13,15.08,12.13,-21.08
"4326","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36946,0.769115863,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.15,40.13,15.15,12.13,-21.08
"4276","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",36994,0.830631446,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.28,40.13,15.28,12.13,-21.08
"4300","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37020,0.561220987,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.35,40.13,15.35,12.13,-21.08
"4328","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37077,0.817058557,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.51,40.13,15.51,12.13,-21.08
"4321","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37119,0.773217207,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.62,40.13,15.62,12.13,-21.08
"4315","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37142,0.379837802,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.69,40.13,15.69,12.13,-21.08
"4317","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37209,0.211009809,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.87,40.13,15.87,12.13,-21.08
"4327","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37232,0.611254446,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,43.93,40.13,15.93,12.13,-21.08
"4305","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37285,0.535720113,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,44.08,40.13,16.08,12.13,-21.08
"4284","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37310,0.843629686,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,44.15,40.13,16.15,12.13,-21.08
"4283","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37420,0.843830451,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,44.45,40.13,16.45,12.13,-21.08
"4274","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37460,0.833414931,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,44.56,40.13,16.56,12.13,-21.08
"4304","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37602,0.746330373,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,44.95,40.13,16.95,12.13,-21.08
"4291","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37635,0.342828536,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.04,40.13,17.04,12.13,-21.08
"4310","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37670,0.67822589,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.13,40.13,17.13,12.13,-21.08
"4271","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37698,0.833574797,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.21,40.13,17.21,12.13,-21.08
"4311","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37728,0.739922278,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.29,40.13,17.29,12.13,-21.08
"4338","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37756,0.874637592,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.37,40.13,17.37,12.13,-21.08
"4334","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37803,0.847938275,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.5,40.13,17.5,12.13,-21.08
"4287","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37823,0.71902108,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.55,40.13,17.55,12.13,-21.08
"4285","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37862,0.45180105,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.66,40.13,17.66,12.13,-21.08
"4280","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37887,0.531998628,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.73,40.13,17.73,12.13,-21.08
"4290","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37919,0.581698424,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.82,40.13,17.82,12.13,-21.08
"4270","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",37952,0.606647136,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,45.91,40.13,17.91,12.13,-21.08
"4281","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38015,0.928581222,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.08,40.13,18.08,12.13,-21.08
"4296","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38035,0.890919815,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.13,40.13,18.13,12.13,-21.08
"4318","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38063,0.81985151,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.21,40.13,18.21,12.13,-21.08
"4275","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38106,0.783552958,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.33,40.13,18.33,12.13,-21.08
"4322","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38135,0.855993376,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.41,40.13,18.41,12.13,-21.08
"4277","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38157,0.793246001,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.47,40.13,18.47,12.13,-21.08
"4268","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38202,0.65830878,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.59,40.13,18.59,12.13,-21.08
"4332","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38222,0.651875136,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.64,40.13,18.64,12.13,-21.08
"4273","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38253,0.267485756,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.73,40.13,18.73,12.13,-21.08
"4337","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38276,0.649581773,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.79,40.13,18.79,12.13,-21.08
"4333","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38322,0.413995545,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,46.92,40.13,18.92,12.13,-21.08
"4278","Port Hacking 4","IMOS","IMOS","IMOS_Port Hacking 4_S","gamma",38370,0.450391303,72,6.92,0.74556475,"pelagic","zooplankton",2,"none",-34.1176,151.2182,"subtropical","2_unprotected",0.282743339,47.05,40.13,19.05,12.13,-21.08
"4237","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38406,0.756891874,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.15,47.15,19.15,19.15,-25.27
"4233","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38429,0.670179122,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.21,47.15,19.21,19.15,-25.27
"4255","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38464,0.785845796,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.31,47.15,19.31,19.15,-25.27
"4249","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38490,0.696978934,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.38,47.15,19.38,19.15,-25.27
"4257","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38526,0.742775261,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.48,47.15,19.48,19.15,-25.27
"4251","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38547,0.750316981,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.53,47.15,19.53,19.15,-25.27
"4246","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38583,0.263464458,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.63,47.15,19.63,19.15,-25.27
"4258","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38614,0.512513892,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.72,47.15,19.72,19.15,-25.27
"4244","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38618,0.20767299,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.73,47.15,19.73,19.15,-25.27
"4252","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38635,0.215083965,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.78,47.15,19.78,19.15,-25.27
"4243","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38642,0.51941155,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.79,47.15,19.79,19.15,-25.27
"4239","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38666,0.372039132,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.86,47.15,19.86,19.15,-25.27
"4250","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38692,0.764877973,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,47.93,47.15,19.93,19.15,-25.27
"4264","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38736,0.598590153,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.05,47.15,20.05,19.15,-25.27
"4265","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38792,0.75693629,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.21,47.15,20.21,19.15,-25.27
"4238","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38820,0.702317756,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.28,47.15,20.28,19.15,-25.27
"4266","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38847,0.688160887,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.36,47.15,20.36,19.15,-25.27
"4263","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38876,0.720489033,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.44,47.15,20.44,19.15,-25.27
"4236","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38899,0.724973346,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.5,47.15,20.5,19.15,-25.27
"4262","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38946,0.696620615,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.63,47.15,20.63,19.15,-25.27
"4247","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",38968,0.599073275,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.69,47.15,20.69,19.15,-25.27
"4241","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39031,0.314115573,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.86,47.15,20.86,19.15,-25.27
"4245","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39064,0.225440867,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,48.95,47.15,20.95,19.15,-25.27
"4254","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39116,0.652362995,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.09,47.15,21.09,19.15,-25.27
"4234","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39140,0.667797303,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.16,47.15,21.16,19.15,-25.27
"4240","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39169,0.784353908,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.24,47.15,21.24,19.15,-25.27
"4256","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39192,0.829397489,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.3,47.15,21.3,19.15,-25.27
"4260","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39219,0.777533782,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.37,47.15,21.37,19.15,-25.27
"4253","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39252,0.63081196,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.46,47.15,21.46,19.15,-25.27
"4242","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39280,0.661835078,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.54,47.15,21.54,19.15,-25.27
"4235","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39322,0.664520747,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.66,47.15,21.66,19.15,-25.27
"4248","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39339,0.698021495,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.7,47.15,21.7,19.15,-25.27
"4261","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39373,0.392915354,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.8,47.15,21.8,19.15,-25.27
"4259","Port Hacking","IMOS","IMOS","IMOS_Port Hacking_S","gamma",39403,0.461576563,34,2.73,0.756891874,"pelagic","zooplankton",2,"none",-34.1192,151.2267,"subtropical","2_unprotected",0.282743339,49.88,47.15,21.88,19.15,-25.27
"4434","Rottnest Island","IMOS","IMOS","IMOS_Rottnest Island_S","gamma",38650,0.44118475,13,1.98,0.44118475,"pelagic","zooplankton",2,"none",-32,115.417,"subtropical","2_unprotected",0.282743339,47.82,47.82,19.82,19.82,-26.02
"4439","Rottnest Island","IMOS","IMOS","IMOS_Rottnest Island_S","gamma",38707,0.742491195,13,1.98,0.44118475,"pelagic","zooplankton",2,"none",-32,115.417,"subtropical","2_unprotected",0.282743339,47.97,47.82,19.97,19.82,-26.02
"4441","Rottnest Island","IMOS","IMOS","IMOS_Rottnest Island_S","gamma",38790,0.809707521,13,1.98,0.44118475,"pelagic","zooplankton",2,"none",-32,115.417,"subtropical","2_unprotected",0.282743339,48.2,47.82,20.2,19.82,-26.02
